,Au-coated beam chamber,Barrel silicon,Barrel muRwell,Forward/backward silicon,Forward/backward MPGD,mRICH AeroGel,Forward AC-LGAD,Dual RICH,Backward AC-LGAD,Barrel AC-LGAD,Backward EMCal,Inner det. spt./service,DIRC,BECal,Active BCal Support,SC Magnet,Barrel HCal,Backward Field Return,Forward EMCal,Forward LHCal
69,0.38322634083601276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008159009646302284,0.0,0.0,0.0,0.0,0.0,0.0,0.14268498392282947,0.0,0.0
70,0.3771207909967846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011456778135048307,0.0,0.0,0.0,0.0,0.0,0.0,0.17731811254019308,0.0,0.0
71,0.371186678456592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015286790996784483,0.0,0.0,0.0,0.0,0.0,0.0,0.21438491961414763,0.0,0.0
72,0.3316704083601286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019754604501607653,0.0,0.0,0.0,0.0,0.0,0.0,0.25353481350482293,0.0,0.0
73,0.2935695498392282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024770855305466244,0.0,0.0,0.0,0.0,0.0,0.0,0.29500750482315136,0.0,0.0
74,0.25623056913183273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03029539871382625,0.0,0.0,0.0,0.0,0.0,0.0,0.3386542250803861,0.0,0.0
75,0.2196316977491961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036473459807074005,0.0,0.0,0.0,0.0,0.0,0.0,0.38402845337620567,0.0,0.0
76,0.18373957234726687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04312712218649514,0.0,0.0,0.0,0.0,0.0,0.0,0.43041006752411554,0.0,0.0
77,0.1437152282958199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05027388102893904,0.0,0.0,0.0,0.0,0.0,0.0,0.4783437620578778,0.0,0.0
78,0.09909526205787775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05804269035369777,0.0,0.0,0.0,0.0,0.0,0.0,0.5275238456591642,0.0,0.0
79,0.05517379389067525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06625176366559488,0.0,0.0,0.0,0.0,0.0,0.0,0.5780557135048227,0.0,0.0
80,0.0482448000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07501342797427585,0.0,0.0,0.0,0.0,0.0,0.0,0.6301716102893884,0.0,0.0
81,0.04800430000000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08424198971061073,0.0,0.0,0.0,0.0,0.0,0.0,0.6837447135048238,0.0,0.0
82,0.04776509999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09393388617363327,0.0,0.0,0.0,0.0,0.0,0.0,0.73891104340836,0.0,0.0
83,0.04752709999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10443622122186591,0.0,0.0,0.0,0.0,0.0,0.0,0.7950875392282947,0.0,0.0
84,0.04729020000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11693080932475819,0.0,0.0,0.0,0.0,0.0,0.0,0.8527189916398722,0.0,0.0
85,0.047054599999999655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13074899228295894,0.0,0.0,0.0,0.0,0.0,0.0,0.9110593360128618,0.0,0.0
86,0.0468200999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14747306881028943,0.0,0.0,0.0,0.0,0.0,0.0,0.9704379990353703,0.0,0.0
87,0.04658680000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16709623022508044,0.0,0.0,0.0,0.0,0.0,0.0,1.0314597263665584,0.0,0.0
88,0.046354600000000315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1887679472668809,0.0,0.0,0.0,0.0,0.0,0.0,1.0934161681672019,0.0,0.0
89,0.046123599999999716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21179215691318398,0.0,0.0,0.0,0.0,0.0,0.0,1.1564171996784562,0.0,0.0
90,0.04589379999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23605234405144732,0.0,0.0,0.0,0.0,0.0,0.0,1.2201674575562695,0.0,0.0
91,0.0456651000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612232160771695,0.0,0.0,0.0,0.0,0.0,0.0,1.2847889694533752,0.0,0.0
92,0.04543759999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28671473279742804,0.0,0.0,0.0,0.0,0.0,0.0,1.3504186713826365,0.0,0.0
