,eta,e-going theta [degree],Au-coated beam chamber,Barrel silicon,Barrel muRwell,Forward/backward silicon,Forward/backward MPGD,mRICH AeroGel,Barrel AC-LGAD,Forward AC-LGAD,Dual RICH,Backward AC-LGAD,Backward EMCal,Inner det. spt./service,DIRC,BECal,Active BCal Support,SC Magnet,Barrel HCal,Backward Field Return,Forward EMCal,Forward LHCal
503,-1.7849975406554899,19.050700000000006,0.00845005999999996,0.0030649400000001027,0.0,0.006093499999999894,0.0,0.08618816302250815,0.0,0.0,0.0,0.0659675736334404,1.6378777463022505,0.5303382614147909,0.3902522893890672,0.0012165916398720888,0.0,0.0,0.0,0.0,0.0,0.0
504,-1.77999910167016,19.14440000000002,0.00841022000000002,0.0030505800000000197,0.0,0.006096899999999945,0.0,0.0884603112540193,0.0,0.0,0.0,0.06495375594855309,0.9769069366559482,0.5274055630225103,0.3884125723472647,0.0018826881028952691,0.0,0.0,0.0,0.0,0.0,0.0
505,-1.7749976698203116,19.23860000000002,0.008370599999999988,0.003036200000000053,0.0,0.006100399999999869,0.0,0.08950104276527346,0.0,0.0,0.0,0.06372664340836011,0.49055917684887457,0.5249515736334412,0.38658236334405016,0.08756363987138283,0.0,0.0,0.0,0.0,0.0,0.0
506,-1.769998656503128,19.333200000000005,0.008331189999999983,0.00302191000000002,0.0,0.006103900000000025,0.0,0.09111536430868156,0.0,0.0,0.0,0.061937145980707486,0.18532626816720257,0.5225105591639873,0.3847626366559487,2.3136157524115744,0.0,0.0,0.0,0.0,0.0,0.0
507,-1.765002124706465,19.428200000000004,0.008291990000000023,0.003007610000000027,0.0,0.00610749999999982,0.0,0.09080044533762069,0.0,0.0,0.0,0.05986875112540191,0.04698187041800633,0.5200826819935693,0.38295222508038596,5.43276319614148,0.0,0.0,0.0,0.0,0.0,0.0
508,-1.759997691249792,19.523799999999994,0.008252989999999946,0.002993510000000015,0.0,0.006111100000000126,0.0,0.08890663408360114,0.0,0.0,0.0,0.05766243118971062,0.0007149215434083811,0.5176676479099674,0.38115128295819933,8.740375913183279,0.0,0.0,0.0,0.0,0.0,0.0
509,-1.7550011575701174,19.619699999999995,0.008214199999999979,0.0029793999999999654,0.0,0.006114800000000144,0.0,0.08808660514469446,0.0,0.0,0.0,0.055397488424437286,0.0,0.5152655225080388,0.37936015112540156,12.258187942122188,0.0,0.0,0.0,0.0,0.0,0.0
510,-1.7500021619024146,19.716099999999983,0.008175619999999993,0.002965480000000034,0.0,0.006118399999999984,0.0,0.08348158938906754,0.0,0.0,0.0,0.05278132926045011,0.0,0.5128760797427654,0.37757781028938875,16.01110279099678,0.0,0.0,0.0,0.0,0.0,0.0
511,-1.7450008347128705,19.812999999999988,0.00813723999999997,0.002951560000000039,0.0,0.006122099999999993,0.0,0.0820456266881029,0.0,0.0,0.0,0.05019351028938919,0.0,0.5104993906752411,0.37580521221864993,19.80464536012861,0.0,0.0,0.0,0.0,0.0,0.0
512,-1.7400024295417802,19.910300000000007,0.008099060000000016,0.002937639999999993,0.0,0.00612589999999988,0.0,0.08501416205787793,0.0,0.0,0.0,0.046116085209003316,0.0,0.5081353295819937,0.3739742250803859,20.207145829582,0.0,0.0,0.0,0.0,0.0,0.0
513,-1.7350018998120813,20.008100000000013,0.008061089999999995,0.002923909999999934,0.0,0.006129699999999995,0.0,0.09706435819935699,0.0,0.0,0.0,0.04264590064308685,0.0,0.5057839800643079,0.3721622893890678,19.268842276527334,0.0,0.0,0.0,0.0,0.0,0.0
